id,"error","correct"
124,"adolecent","adolescent"
125,"adquire","acquire"
126,"adquiring","acquiring"
127,"adres","address"
128,"adresable","addressable"
129,"adresing","addressing"
130,"adress","address, Adress [German]"
131,"adressable","addressable"
132,"adressing","addressing, dressing"
133,"advantagous","advantageous"
134,"advertisment","advertisement"
135,"advertisments","advertisements"
136,"adviced","advised"
137,"aeriel","aerial"
138,"aeriels","aerials"
139,"affadavit","affidavit"
140,"afficionado","aficionado"
141,"affilate","affiliate"
142,"affilliate","affiliate"
143,"affort","afford, effort"
144,"affraid","afraid"
145,"affter","after"
146,"Afica","Africa"
147,"after-affect","after-effect"
148,"afteraffect","aftereffect"
149,"afterwhich","after which"
150,"afther","after"
151,"againnst","against"
152,"agains","against"
153,"againsts","against"
154,"ageing","variant of aging"
155,"aggitate","agitate"
156,"aggree","agree"
157,"aggreement","agreement"
158,"aggregious","egregious"
159,"aggresive","aggressive"
160,"agian","again"
161,"agina","again, angina"
162,"aginst","against"
163,"agravate","aggravate"
164,"agre","agree"
165,"agred","agreed"
166,"agregate","aggregate, agr"
167,"agregation","aggregation, agr"
168,"agreing","agreeing"
169,"agress","agrees"
170,"agression","aggression, Agression [band]"
171,"agressive","aggressive"
172,"agressively","aggressively"
173,"agriculturalist","agriculturist"
174,"agriculturalists","agriculturists"
175,"agricultue","agriculture"
176,"agriculure","agriculture"
177,"agrieved","aggrieve"
178,"ahev","have"
179,"ahold of","a hold of"
180,"ahppen","happen"
181,"ahve","have"
182,"aiport","airport"
183,"airborn","airborne"
184,"airbourne","airborne"
185,"aircrafts","aircraft"
186,"airporta","airports"
187,"ajacent","adjacent"
188,"ajoin","adjoin"
189,"ajoining","adjoining"
190,"ajust","adjust"
191,"aka","a.k.a., AKA"
192,"a.k.a","a.k.a."
193,"akward","awkward"
194,"albiet","albeit"
195,"alchohol","alcohol"
196,"alchoholic","alcoholic"
197,"alchol","alcohol"
198,"alcholic","alcoholic"
199,"alcohal","alcohol"
200,"alcoholical","alcoholic"
201,"aledge","allege"
202,"aledged","alleged"
203,"aledges","alleges"
204,"alege","allege"
205,"aleged","alleged"
206,"alegience","allegiance"
207,"algoritm","algorithm"
208,"algoritms","algorithms"
209,"allagory","allegory"
210,"allaince","alliance"
211,"alledge","allege"
212,"alledged","alleged"
213,"alledges","alleges"
214,"allegence","allegiance"
215,"allegience","allegiance"
216,"allign","align"
217,"allignment","alignment"
218,"alliviate","alleviate"
219,"allmost","almost"
220,"allong","along"
221,"allopone","allophone"
222,"allopones","allophones"
223,"allready","already"
224,"allright","all right"
225,"allso","also"
226,"alltogether","altogether"
227,"allways","always"
228,"almsot","almost"
229,"alochol","alcohol"
230,"alomst","almost"
231,"alos","also"
232,"alot","a lot, allot"
233,"alot of","a lot of"
234,"alot more","a lot more"
235,"alotted","allotted"
236,"alow","allow"
237,"alreayd","already"
238,"alse","also, else"
239,"alsot","also"
240,"alterpiece","altarpiece"
241,"altho","although"
242,"althought","although"
243,"altough","although"
244,"aluminum","aluminium"
245,"alumnas","alumna [singular], alumnae [plural]"
246,"alumnis","alumni [plural], alumnus [singular]"
247,"alusion","allusion, illusion"
248,"aluvial","alluvial"
249,"alwasy","always"
250,"alwyas","always"
251,"amatuer","amateur"
252,"amature","armature, amateur"
253,"ambiance","ambience"
254,"ambiant","ambient"
255,"ambience","ambiance"
256,"ambigious","ambiguous"
257,"Amercia","America"
258,"Amercian","American"
259,"amendmant","amendment"
260,"amke","make"
261,"amking","making"
262,"ammass","amass"
263,"ammend","amend"
264,"ammended","amended"
265,"ammendment","amendment"
266,"ammenity","amenity"
267,"ammount","amount"
268,"amongst","variant of among"
269,"amonst","among, amongst"
270,"amonth","a month, among, amongst"
271,"amoung","among"
272,"amoungst","amongst"
273,"ampitheater","amphitheater"
274,"ampitheatre","amphitheatre"
275,"ampoule","variant of ampule"
276,"amung","among"
277,"Anahiem","Anaheim"
278,"analagous","analogous"
279,"analitic","analytic"
280,"analogeous","analogous"
281,"analogue","analog"
282,"analyze","analyse"
283,"anaylsis","analysis"
284,"anbd","and"
285,"ancester","ancestor"
286,"ancesteral","ancestral"
287,"ancilliary","ancillary"
288,"andd","and"
289,"androgenous","androgynous"
290,"androgeny","androgyny"
291,"anihilate","annihilate"
292,"anihilation","annihilation"
293,"aniversary","anniversary"
294,"ankel","ankle"
295,"annd","and"
296,"annoint","anoint"
297,"annonce","announce"
298,"annoncement","announcement"
299,"annouce","announce"
300,"annoucement","announcement"
301,"annuled","annulled"
302,"anomolies","anomalies"
303,"anomolous","anomalous"
304,"anomoly","anomaly"
305,"anonimity","anonymity"
306,"anounce","announce"
307,"anouncement","announcement"
308,"ansalisation","nasalisation"
309,"ansalization","nasalization"
310,"Antartic","Antarctic"
311,"anthromorphization","anthropomorphization"
312,"anthropolgist","anthropologist"
313,"anthropolgy","anthropology"
314,"antropology","anthropology"
315,"anual","anal, annual"
316,"anually","annually"
317,"anulled","annulled"
318,"anyhwere","anywhere"
319,"anytying","anything"
320,"anyways","anyway"
321,"apalled","appalled"
322,"aparatus","apparatus"
323,"aparent","apparent"
324,"aparently","apparently"
325,"apear","appear"
326,"apearance","appearance"
327,"apeared","appeared"
328,"apearing","appearing"
329,"Apenines","Apennines"
330,"aplication","application"
331,"aplied","applied"
332,"apoint","appoint"
333,"apolegetics","apologetics"
334,"apoligize","apologize"
335,"apologise","apologize"
336,"apon","upon, apron"
337,"apparant","apparent"
338,"apparantly","apparently"
339,"appart","apart"
340,"appartmant","apartment"
341,"appartment","apartment"
342,"appealling","appealing, appalling"
343,"appearence","appearance"
344,"Appenines","Apennines"
345,"apperance","appearance"
346,"applicaiton","application"
347,"applicaitons","applications"
348,"applyed","applied"
349,"appologies","apologies"
350,"appologize","apologize"
351,"appology","apology"
352,"apporach","approach"
353,"appretiate","appreciate"
354,"apprieciate","appreciate"
355,"approachs","approaches"
356,"approch","approach"
357,"appropiate","appropriate"
358,"approximatley","approximately"
359,"approximatly","approximately"
360,"approximently","approximately"
361,"approximitely","approximately"
362,"april","April"
363,"aproach","approach"
364,"aprox.","approx."
365,"aproximately","approximately"
366,"aproximation","approximation"
367,"aquaduct","aqueduct"
368,"aquaintance","acquaintance"
369,"aquainted","acquainted"
370,"aquarius","Aquarius"
371,"aquiantance","acquaintance"
372,"aquifier","aquifer"
373,"aquire","acquire"
374,"aquired","acquired"
375,"aquiring","acquiring"
376,"aquisition","acquisition"
377,"aquitted","acquitted"
378,"aranged","arranged"
379,"arangement","arrangement"
380,"arbitarily","arbitrarily"
381,"arbitary","arbitrary"
382,"arbouretum","arboretum, even in UK"
383,"archaoelogy","archaeology, archeology"
384,"archaology","archaeology, archeology"
385,"archeaologist","archeologist, archaeologist"
386,"archeaologists","archeologists, archaeologists"
387,"archetect","architect"
388,"archetects","architects"
389,"archetectural","architectural"
390,"archetecturally","architecturally"
391,"archetecture","architecture"
392,"archiac","archaic, Archiac [canton]"
393,"Archimedian","Archimedean"
394,"architechture","architecture"
395,"architectual","architectural"
396,"archivement","achievement"
397,"archs","arches [plural]"
398,"archtype","arch-type, archetype"
399,"ardour","ardor"
400,"are'nt	","	are not, aren't	"
401,"argubly","arguably"
402,"argueably","arguably"
403,"arguebly","arguably"
404,"arguement","argument"
405,"arial view","aerial view"
406,"ariel view","aerial view"
407,"aries","Aries"
408,"arised","arose"
409,"arival","a rival, arrival"
410,"arive","arrive"
411,"armour","correct spelling in British English"
412,"arn't	","	aren't	"
413,"arrage","arrange"
414,"arragement","arrangement"
415,"arrangment","arrangement"
416,"arrengement","arrangement"
417,"arrengements","arrangements"
418,"arround","around"
419,"artefact","artifact"
420,"Artic Circle","Arctic Circle"
421,"Artic Ocean","Arctic Ocean"
422,"artical","article"
423,"artice","article"
424,"articel","article"
425,"artifical","artificial"
426,"artifically","artificially"
427,"artificialy","artificially"
428,"artilce","article"
429,"artillary","artillery"
430,"ascendancy","ascendency"
431,"asend","ascend"
432,"asetic","ascetic"
433,"ashphalt","asphalt"
434,"asign","assign"
435,"asimilate","assimilate"
436,"askes","asks"
437,"aslo","also"
438,"asociate","associate"
439,"asociated","associated"
440,"asociation","association"
441,"asorbed","absorbed"
442,"asperations","aspirations"
443,"assasin","assassin"
444,"assasinate","assassinate"
445,"assasinated","assassinated"
446,"assasinates","assassinates"
447,"assasination","assassination"
448,"assasinations","assassinations"
449,"assasins","assassins"
450,"asscoiate","associate"
451,"assemple","assemble"
452,"assertation","assertion"
453,"asside","aside"
454,"assimiliated","assimilated"
455,"assinate","assassinate"
456,"assination","assassination"
457,"assisstance","assistance"
458,"assitance","assistance"
459,"assitant","assistant"
460,"assocation","association"
461,"assoicate","associate"
462,"assoicated","associated"
463,"assoicates","associates"
464,"assualt","assault"
465,"assumme","assume"
466,"assymetric","asymmetric"
467,"assymetry","asymmetry"
468,"asterick","asterisk"
469,"asteriks","asterisk"
470,"asteriod","asteroid"
471,"asthetic","aesthetic, esthetic"
472,"asthetical","aesthetical, esthetical"
473,"asthetically","aesthetically, esthetically"
474,"astroid","asteroid"
475,"asume","assume"
476,"aswell","as well"
477,"atempt","attempt"
478,"athelete","athlete"
479,"atheletic","athletic"
480,"atheltic","athletic"
481,"Athenean","Athenian"
482,"Atheneans","Athenians"
483,"athiest","atheist"
484,"athmosphere","atmosphere"
485,"athough","although"
486,"atitude","attitude"
487,"atleast","at least"
488,"atomsphere","atmosphere"
489,"atractions","attractions"
490,"atribute","attribute"
491,"atributed","attributed"
492,"atributes","attributes"
493,"attaindre","attainder, attained"
494,"attatch","attach"
495,"attemp","attempt"
496,"attemt","attempt"
497,"attemted","attempted"
498,"attemting","attempting"
499,"attendence","attendance"
500,"attendent","attendant"
501,"attendents","attendants"
502,"attened","attend, attended"
503,"attent","attend"
504,"attept","attempt"
505,"atthe","at the"
506,"attitide","attitude"
507,"attone","atone"
508,"attornies","attorneys"
509,"attorny","attorney"
510,"audeince","audience"
511,"audiance","audience"
512,"august","August [month]"
513,"austrailia","Australia"
514,"australia","Australia"
515,"australian","Australian"
516,"Australiasia","Australasia"
517,"auther","author"
518,"authobiographic","autobiographic"
519,"authobiography","autobiography"
520,"authorative","authoritative"
521,"authorise","authorize"
522,"authorites","authorities"
523,"authoritive","authoritative"
524,"autochtonous","autochthonous"
525,"autoctonous","autochthonous"
526,"autor","author"
527,"autority","authority"
528,"auxillaries","auxiliaries"
529,"auxillary","auxiliary"
530,"auxilliaries","auxiliaries"
531,"auxilliary","auxiliary"
532,"availabe","available"
533,"availiable","available"
534,"avalable","available"
535,"avalance","avalanche"
536,"avaliable","available"
537,"avalible","available"
538,"avation","aviation"
539,"averageed","averaged"
540,"averege","average"
541,"awaked","awoke"
542,"awarness","awareness"
543,"awsome","awesome"
544,"awya","away"
545,"axe","ax"
546,"babys	","	babies [plural], baby's, babys [French plural]	"
547,"bacame","became"
548,"backpeddle","backpedal"
549,"backruptcy","bankruptcy"
550,"backround","background"
551,"badmiton","badminton"
552,"badmitton","badminton"
553,"bakc","back"
554,"baleout","bailout"
555,"ballest","ballast"
556,"bandwith","bandwidth"
557,"bankrupcy","bankruptcy"
558,"bannana","banana"
559,"baout","about, bout"
560,"barron","baron; huge number of false positives"
561,"basicaly","basically"
562,"basicly","basically"
563,"batallion","battalion"
564,"batchs	","	batch's, batches	"
565,"bcak","back"
566,"beacame","became"
567,"beacause","because"
568,"beachs	","	beach's, beaches	"
569,"beacuse","because"
570,"beared","bared, bearded, bore, borne"
571,"bearly","barely"
572,"beastial","bestial"
573,"beastiality","bestiality"
574,"beated","beat, beaten"
575,"beatiful","beautiful"
576,"beaurocracy","bureaucracy"
577,"beaurocrat","bureaucrat"
578,"beautifull","beautiful"
579,"beautifuly","beautifully"
580,"beautyfull","beautiful"
581,"becamae","became"
582,"becamed","became"
583,"becasue","because"
584,"becomed","became"
585,"becomeing","becoming"
586,"becomming","becoming"
587,"becouse","because"
588,"becuase","because"
589,"beeen","been"
590,"beeing","being"
591,"beetween","between"
592,"beetwen","between"
593,"befoer","before"
594,"befor","before"
595,"beggin","begging, begin"
596,"begginer","beginner"
597,"beggining","beginning"
598,"begginning","beginning"
599,"begining","beginning"
600,"beginnig","beginning"
601,"behaviour","acceptable variant of behavior"
602,"behavour","behavior, behaviour"
603,"beign","begin, being"
604,"beigns","begins"
605,"Bejing","Beijing"
606,"beleagured","beleaguered"
607,"beleave","believe"
608,"beleif","belief"
609,"beleive","believe"
610,"beleives","beliefs, believes"
611,"Belguim","Belgium"
612,"believeable","believable"
613,"belive","believe"
614,"beliver","believer"
615,"belives","beliefs, believes"
616,"beliving","believing"
617,"bellweather","bellwether"
618,"benchs","benches"
619,"benefical","beneficial"
620,"beneficary","beneficiary"
621,"benificial","beneficial"
622,"benifit","benefit"
623,"benifits","benefits"
624,"bennefit","benefit"
625,"bereau","bureau"
626,"bergamont","bergamot"
627,"Bernouilli","Bernoulli"
628,"beseige","besiege"
629,"beserk","berserk"
630,"besetted","beset"
631,"beteen","between"
632,"bettween","between"
633,"betweeen","between"
634,"betwen","between"
635,"bianual","biannual"
636,"bieng","being"
637,"bilateraly","bilaterally"
638,"bilbliography","bibliography"
639,"binded","bound"
640,"binominal","binomial, binominal"
641,"bited","bit"
642,"biten","bitten"
643,"biulding","building"
644,"blaim","blame"
645,"blaimed","blamed"
646,"blatent","blatant"
647,"bleeded","bled"
648,"Blitzkreig","Blitzkrieg"
649,"bloosom","blossom"
650,"blossem","blossom"
651,"blowed","blew, blown"
652,"boaut","bout, boat, about"
653,"bodly","bodily"
654,"bodys	","	bodies [plural], body's	"
655,"bonafied","bona fide"
656,"bondary","boundary"
657,"bonified","bona fide"
658,"Bonnano","Bonanno"
659,"boo's	","	boos	"
660,"borded","boarded, bordered"
661,"boths","booths, both"
662,"boundries","boundaries"
663,"boundry","boundary"
664,"bouyancy","buoyancy"
665,"bouyant","buoyant"
666,"boyant","buoyant"
667,"boyfreind","boyfriend"
668,"boys's	","	boys'	"
669,"brakedown","breakdown"
670,"brakeup","break-up, breakup"
671,"brakish","brackish"
672,"branchs	","	branch's, branches	"
673,"brang","brought"
674,"Brasillian","Brazilian"
675,"Brazillian","Brazilian"
676,"breaked","beaked, broke, broken"
677,"breakthough","breakthrough"
678,"breeded","bred"
679,"breif","brief"
680,"breifcase","briefcase"
681,"breifly","briefly"
682,"brethrens","brethren [plural]"
683,"bribary","bribery"
684,"Brigandier","Brigadier"
685,"briliant","brilliant"
686,"brillance","brilliance"
687,"brillant","brilliant [English]; false positives for brillant [Fre"
688,"bringed","brought"
689,"Britan","Britain"
690,"Britian","Britain"
691,"Brittain","Britain"
692,"Brittish","British"
693,"broadcasted","broadcast"
694,"broady","broadly"
695,"brodcast","broadcast"
696,"broght","brought"
697,"broked","broke, broken"
698,"brung","brought"
699,"Brussells","Brussels"
700,"Buddah","Buddha"
701,"buffalos","acceptable variant of buffaloes"
702,"buget","budget"
703,"buiding","building"
704,"buidling","building"
705,"build-in","built-in"
706,"builded","built"
707,"buildng","building"
708,"buisness","business"
709,"bulding","building"
710,"buliding","building"
711,"bulliten","bulletin"
712,"buring","burin, burning, burying, during"
713,"burrial","burial"
714,"burried","buried"
715,"burry","bury"
716,"burrying","burying"
717,"busines","business"
718,"busineses","business, businesses"
719,"busness","business"
720,"bussines","business"
721,"bussiness","business"
722,"buyed","bought"
723,"bye-election","by-election"
724,"byepass","bypass"
725,"cacaphonous","cacophonous"
726,"cacaphony","cacophony"
727,"caffiene","caffeine"
728,"calander","calendar, calender, colander"
729,"calender","calendar; calender is correct for the machine"
730,"calibur","caliber, calibre"
731,"Califronia","California"
732,"Califronian","Californian"
733,"caligraphy","calligraphy"
734,"calloused","callused"
735,"callouses","calluses"
736,"calous","callous, callus"
737,"caluclate","calculate"
738,"caluclated","calculated"
739,"caluculate","calculate"
740,"caluculated","calculated"
741,"calulate","calculate"
742,"calulated","calculated"
743,"Cambrige","Cambridge"
744,"cameback","came back"
745,"cameraderie","camaraderie"
746,"camoflage","camouflage"
747,"campain","campaign"
748,"camraderie","camaraderie"
749,"Canadaian","Canadian"
750,"Canadain","Canadian"
751,"cancelation","cancellation"
752,"cancelled","canceled"
753,"candadate","candidate"
754,"canidate","candidate"
755,"cannister","canister"
756,"canoing","canoeing"
757,"cannonical","canonical"
758,"cannotation","connotation"
759,"cannotations","connotations"
760,"cant	","	can not, can't, cannot; cant may be correct	"
761,"caost","coast"
762,"capabilites","capabilities"
763,"capacites","capacities"
764,"caperbility","capability"
765,"Capetown","Cape Town"
766,"capitalise","capitalize"
767,"capitivity","captivity"
768,"captial","capital"
769,"captialize","capitalize"
770,"captian","captain"
771,"carachter","character"
772,"carcas","carcass, Caracas"
773,"careing","caring"
774,"carismatic","charismatic"
775,"Carmalite","Carmelite"
776,"carmel","caramel, Carmel-by-the-Sea"
777,"carniverous","carnivorous"
778,"carraige","carriage"
779,"carrear","career"
780,"carred","cared, carried"
781,"carreer","career"
782,"carrer","career"
783,"Carribbean","Caribbean"
784,"Carribean","Caribbean"
785,"carring","caring, carrying"
786,"Carthagian","Carthaginian"
787,"carthographer","cartographer"
788,"cartilege","cartilage"
789,"cartilidge","cartilage"
790,"cartrige","cartridge"
791,"casette","cassette"
792,"casion","caisson"
793,"cassawory","cassowary"
794,"cassete","cassette"
795,"cassowarry","cassowary"
796,"casted","cast, casted [caste]"
797,"casue","cause"
798,"casued","caused"
799,"casues","causes"
800,"casuing","causing"
801,"casulaties","casualties"
802,"casulaty","casualty"
803,"catagories","categories"
804,"catagorise","categorise"
805,"catagorize","categorize"
806,"catagory","category"
807,"Cataline","Catiline, Catalina"
808,"catalogue","catalog"
809,"catalouge","catalogue"
810,"catched","caught"
811,"catchs","catches"
812,"cathegory","category"
813,"cathlic","catholic"
814,"catterpilar","caterpillar"
815,"catterpilars","caterpillars"
816,"causalities","casualties; causalities may be correct"
817,"cavarly","cavalry"
818,"Ceasar","Caesar"
819,"Celcius","Celsius"
820,"celeberate","celebrate"
821,"celebrites","celebrities"
822,"celibrate","celebrate"
823,"cementary","cemetery"
824,"cementery","cemetery"
825,"cemetarey","cemetery"
826,"cemetaries","cemeteries"
827,"cemetary","cemetery"
828,"cemetry","cemetery"
829,"cencus","census"
830,"censur","censor, censure"
831,"centenial","centennial"
832,"centennary","centenary, centennial [100 years]"
833,"centeral","central"
834,"centralise","centralize"
835,"centraly","centrally"
836,"centre","center"
837,"centred","centered"
838,"caluclate","calculate"
839,"centrifical",""
840,"dael","deal, dial, dahl"
841,"Dalmation","Dalmatian"
842,"damageing","damaging"
843,"dammage","damage"
844,"danceing","dancing"
845,"dangerious","dangerous"
846,"daschund","dachshund"
847,"datas	","	data [plural], data's [possessive]	"
848,"daugher","daughter"
849,"daugter","daughter"
850,"daugther","daughter"
851,"damenor","demeanor"
852,"Dardenelles","Dardanelles"
853,"de-facto","de facto"
854,"deactived","deactivated"
855,"dealed","dealt"
856,"deamed","deemed"
857,"debateable","debatable"
858,"debute","debut"
859,"decadance","decadence"
860,"decadant","decadent"
861,"decathalon","decathlon"
862,"decend","descend"
863,"desend","descend"
864,"decendant","descendant"
865,"decendent","descendant, descendent"
866,"decern","discern"
867,"decideable","decidable"
868,"decidely","decidedly"
869,"decidly","decidedly"
870,"decieve","deceive"
871,"decigramme","variant of decigram"
872,"decilitre","variant of deciliter"
873,"decimetre","variant of decimeter"
874,"decomposit","decompose"
875,"decomposited","decomposed"
876,"decompositing","decomposing"
877,"decomposits","decomposes"
878,"decrepid","decrepit"
879,"decribe","describe"
880,"decribing","describing"
881,"decypher","decipher"
882,"decyphered","deciphered"
883,"deep-seeded","deep-seated"
884,"defecit","deficit"
885,"defence","British variant of defense"
886,"defencive","defensive"
887,"defendent","defendant"
888,"deffine","define"
889,"deffined","defined"
890,"deffinite","definite"
891,"deffinition","definition"
892,"definance","defiance"
893,"definate","definite"
894,"definately","definitely"
895,"definatly","definitely"
896,"definetly","definitely"
897,"definit","definite"
898,"definitley","definitely"
899,"definitly","definitely"
900,"definiton","definition"
901,"defintion","definition"
902,"defuncted","defunct"
903,"degredation","degradation"
904,"deites","deities"
905,"delagate","delegate"
906,"delapidated","dilapidated"
907,"demenor","demeanor"
908,"deminish","diminish"
909,"demographical","acceptable variant of demographic"
910,"denegrating","denigrating"
911,"dependance","dependence"
912,"dependancy","dependency"
913,"dependant","British variant of dependent [noun]"
914,"deram","dram, dream"
915,"derivated","derived"
916,"deriviated","derived"
917,"deriviative","derivative"
918,"derogitory","derogatory"
919,"descendant","acceptable variant of descendent [noun]"
920,"descendent","acceptable variant of descendant"
921,"descendents","acceptable variant of descendants"
922,"descision","decision"
923,"descisions","decisions"
924,"descuss","discuss"
925,"desease","disease"
926,"desgin","design"
927,"desginate","designate"
928,"desgined","designed"
929,"deside","decide"
930,"designes","designs"
931,"desimination","dissemination"
932,"desinged","designed"
933,"desinger","designer"
934,"desintegrated","disintegrated"
935,"desintegration","disintegration"
936,"desireable","desirable"
937,"desirible","desirable"
938,"desolution","dissolution"
939,"desolve","dissolve"
940,"desparate","desperate, disparate"
941,"desparately","desperately, disparately"
942,"desparation","desperation"
943,"despatch","British variant of dispatch"
944,"despiration","desperation"
945,"desribe","describe"
946,"dessicated","desiccated"
947,"dessication","desiccation"
948,"dessigned","designed"
949,"destory","destroy"
950,"destoryer","destroyer"
951,"detachement","detachment"
952,"detailled","detailed"
953,"detatch","detach"
954,"detatched","detached"
955,"detatchment","detachment"
956,"detecter","detector"
957,"deterance","deterrence"
958,"deterant","deterrent"
959,"deterence","deterrence"
960,"deterent","deterrent"
961,"deteriation","deterioration"
962,"determent","determent, deterrent, detriment"
963,"determinining","determining"
964,"deterrance","deterrence"
965,"deterrant","deterrent"
966,"detrement","detriment"
967,"detremental","detrimental"
968,"Detriot","Detroit"
969,"develope","develop"
970,"developement","development"
971,"developemet","development"
972,"developped","developed"
973,"develp","develop"
974,"devestate","devastate"
975,"devestation","devastation"
976,"devide","divide"
977,"devision","division"
978,"devistate","devastate"
979,"devistation","devastation"
980,"devolopement","development"
981,"devolopment","development"
982,"devolopped","developed"
983,"diad","dyad"
984,"diadic","dyadic"
985,"dialate","dilate"
986,"dialation","dilation"
987,"dialled","variant of dialed"
988,"dialogue","variant of dialog"
989,"dialouge","dialog, dialogue"
990,"diaster","disaster"
991,"diciple","disciple"
992,"dicision","decision"
993,"dicover","discover"
994,"dicovered","discovered"
995,"dicovering","discovering"
996,"dicovery","discovery"
997,"dicuss","discuss"
998,"dicussion","discussion"
999,"did'nt	","	did not, didn't	"
1000,"didnt	","	didn't	"
1001,"diea","idea, die"
1002,"dieing","dying, dyeing"
1003,"diesal","diesel"
1004,"dieties","deities"
1005,"diety","deity"
1006,"diference","difference"
1007,"diferent","different"
1008,"diferrent","different"
1009,"differant","different"
1010,"differnt","different"
1011,"diffrent","different"
1012,"dificult","difficult"
1013,"dificulties","difficulties"
1014,"dificulty","difficulty"
1015,"digged","dug"
1016,"digitaly","digitally"
1017,"digitise","variant of digitize"
1018,"dignatary","dignitary"
1019,"dilletante","dilettante"
1020,"dilligence","diligence"
1021,"dilligent","diligent"
1022,"dimenion","dimension"
1023,"dimention","dimension"
1024,"dimentional","dimensional"
1025,"diminuation","diminution"
1026,"diminuative","diminutive"
1027,"diminuition","diminution"
1028,"diminuitive","diminutive"
1029,"dimunitive","diminutive"
1030,"dinasty","dynasty"
1031,"dinning room","dining room"
1032,"diphtong","diphthong"
1033,"diphtongs","diphthongs"
1034,"diptheria","diphtheria"
1035,"dipthong","diphthong"
1036,"dipthongs","diphthongs"
1037,"direcly","directly"
1038,"directer","director"
1039,"dirived","derived"
1040,"disapear","disappear"
1041,"disaproval","disapproval"
1042,"disasterous","disastrous"
1043,"disatisfaction","dissatisfaction"
1044,"disatisfied","dissatisfied"
1045,"disc","variant of disk"
1046,"discrepency","discrepancy"
1047,"discribe","describe"
1048,"discribed","described"
1049,"discribes","describes"
1050,"discribing","describing"
1051,"discription","description"
1052,"disctinction","distinction"
1053,"disctinctive","distinctive"
1054,"disect","bisect, dissect"
1055,"disection","bisection, dissection"
1056,"disemination","dissemination"
1057,"disenchanged","disenchanted"
1058,"disfunctional","dysfunctional"
1059,"disobediance","disobedience"
1060,"disobediant","disobedient"
1061,"disolution","dissolution"
1062,"disolve","dissolve"
1063,"disorientated","disoriented"
1064,"dispair","despair"
1065,"disparingly","despairingly, disparagingly"
1066,"dispence","dispense"
1067,"dispenced","dispensed"
1068,"dispencing","dispensing"
1069,"disperate","desperate, disparate"
1070,"dispicable","despicable"
1071,"dispite","despite"
1072,"disputandem","disputandum"
1073,"dissagreement","disagreement"
